AUC    AUPR    Acc    F1    pre    recall
0.9040    0.9059    0.5000    0.6667    0.5000    1.0000 
0.9282    0.9290    0.5198    0.6756    0.5101    1.0000 
0.9321    0.9320    0.7113    0.7734    0.6365    0.9853 
0.9321    0.9316    0.7960    0.8239    0.7250    0.9540 
0.9318    0.9313    0.8490    0.8554    0.8206    0.8932 
0.9321    0.9313    0.8536    0.8499    0.8721    0.8287 
0.9327    0.9317    0.8421    0.8284    0.9069    0.7624 
0.9333    0.9322    0.8218    0.7960    0.9309    0.6952 
0.9337    0.9326    0.8034    0.7650    0.9508    0.6400 
0.9340    0.9328    0.7818    0.7291    0.9608    0.5875 
0.9341    0.9329    0.7620    0.6946    0.9687    0.5414 
0.9342    0.9329    0.7440    0.6626    0.9715    0.5028 
0.9343    0.9330    0.7320    0.6394    0.9773    0.4751 
0.9344    0.9331    0.7251    0.6257    0.9804    0.4595 
0.9346    0.9333    0.7228    0.6209    0.9821    0.4540 
0.9351    0.9338    0.7205    0.6166    0.9819    0.4494 
0.9355    0.9342    0.7201    0.6157    0.9819    0.4484 
0.9357    0.9345    0.7219    0.6192    0.9820    0.4521 
0.9359    0.9345    0.7251    0.6252    0.9822    0.4586 
0.9360    0.9346    0.7353    0.6448    0.9794    0.4807 
0.9362    0.9347    0.7436    0.6606    0.9766    0.4991 
0.9365    0.9350    0.7518    0.6767    0.9707    0.5193 
0.9369    0.9354    0.7583    0.6895    0.9636    0.5368 
0.9372    0.9355    0.7712    0.7112    0.9638    0.5635 
0.9373    0.9356    0.7813    0.7281    0.9622    0.5856 
0.9372    0.9354    0.7951    0.7499    0.9625    0.6142 
0.9371    0.9354    0.8034    0.7640    0.9557    0.6363 
0.9372    0.9355    0.8080    0.7730    0.9454    0.6538 
0.9377    0.9361    0.8204    0.7921    0.9405    0.6842 
0.9380    0.9364    0.8301    0.8077    0.9304    0.7136 
0.9382    0.9366    0.8375    0.8189    0.9247    0.7348 
0.9380    0.9364    0.8458    0.8311    0.9186    0.7587 
0.9383    0.9368    0.8485    0.8361    0.9110    0.7726 
0.9387    0.9373    0.8481    0.8371    0.9021    0.7808 
0.9388    0.9374    0.8522    0.8426    0.9014    0.7910 
0.9387    0.9374    0.8568    0.8495    0.8950    0.8085 
0.9391    0.9378    0.8610    0.8559    0.8881    0.8260 
0.9392    0.9381    0.8665    0.8638    0.8812    0.8471 
0.9390    0.9379    0.8656    0.8646    0.8710    0.8582 
0.9393    0.9382    0.8633    0.8636    0.8616    0.8656 
