AUC    AUPR    Acc    F1    pre    recall
0.9228    0.9252    0.5002    0.0008    1.0000    0.0004 
0.9459    0.9471    0.5452    0.1658    1.0000    0.0904 
0.9497    0.9505    0.5850    0.2905    1.0000    0.1699 
0.9498    0.9505    0.5950    0.3203    0.9958    0.1908 
0.9490    0.9497    0.5938    0.3164    0.9979    0.1880 
0.9484    0.9490    0.5874    0.2980    0.9977    0.1752 
0.9483    0.9488    0.5779    0.2702    0.9974    0.1563 
0.9483    0.9488    0.5685    0.2410    1.0000    0.1370 
0.9481    0.9486    0.5627    0.2228    1.0000    0.1254 
0.9480    0.9484    0.5613    0.2183    1.0000    0.1225 
0.9479    0.9482    0.5619    0.2202    1.0000    0.1237 
0.9478    0.9479    0.5655    0.2316    1.0000    0.1310 
0.9477    0.9477    0.5717    0.2514    0.9972    0.1438 
0.9478    0.9478    0.5793    0.2744    0.9975    0.1591 
0.9480    0.9479    0.5874    0.2980    0.9977    0.1752 
0.9481    0.9480    0.5966    0.3244    0.9979    0.1937 
0.9481    0.9479    0.6069    0.3531    0.9963    0.2145 
0.9482    0.9480    0.6159    0.3772    0.9966    0.2326 
0.9483    0.9481    0.6262    0.4045    0.9937    0.2539 
0.9484    0.9481    0.6404    0.4410    0.9902    0.2836 
0.9485    0.9482    0.6559    0.4782    0.9887    0.3154 
0.9485    0.9482    0.6726    0.5166    0.9864    0.3499 
0.9486    0.9482    0.6888    0.5527    0.9825    0.3845 
0.9489    0.9484    0.7055    0.5882    0.9776    0.4207 
0.9489    0.9485    0.7232    0.6231    0.9760    0.4576 
0.9489    0.9484    0.7421    0.6591    0.9718    0.4986 
0.9490    0.9485    0.7557    0.6840    0.9684    0.5287 
0.9492    0.9488    0.7712    0.7107    0.9662    0.5621 
0.9494    0.9490    0.7830    0.7304    0.9644    0.5878 
0.9495    0.9491    0.7933    0.7471    0.9620    0.6107 
0.9497    0.9492    0.8009    0.7594    0.9595    0.6284 
0.9498    0.9494    0.8086    0.7716    0.9561    0.6468 
0.9501    0.9497    0.8182    0.7862    0.9541    0.6685 
0.9503    0.9499    0.8260    0.7981    0.9506    0.6878 
0.9505    0.9501    0.8357    0.8118    0.9499    0.7087 
0.9507    0.9503    0.8421    0.8209    0.9484    0.7236 
0.9507    0.9503    0.8479    0.8293    0.9450    0.7389 
0.9509    0.9505    0.8511    0.8342    0.9414    0.7489 
0.9513    0.9510    0.8550    0.8398    0.9376    0.7605 
0.9512    0.9507    0.8572    0.8433    0.9341    0.7686 
0.9515    0.9510    0.8636    0.8519    0.9318    0.7847 
0.9517    0.9512    0.8674    0.8575    0.9271    0.7975 
0.9516    0.9509    0.8694    0.8606    0.9231    0.8059 
0.9519    0.9513    0.8728    0.8653    0.9195    0.8172 
0.9518    0.9510    0.8744    0.8678    0.9161    0.8244 
0.9521    0.9513    0.8781    0.8725    0.9142    0.8345 
0.9517    0.9506    0.8787    0.8740    0.9089    0.8417 
0.9524    0.9515    0.8827    0.8802    0.8990    0.8622 
0.9509    0.9495    0.8801    0.8777    0.8952    0.8610 
0.9522    0.9512    0.8879    0.8881    0.8864    0.8899 
